City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
143,fortuna,40.5982,-124.1573,71.92,66,0,3.44,US,2023-10-06 12:53:02
144,bubaque,11.2833,-15.8333,81.46,79,95,9.48,GW,2023-10-06 12:53:02
145,santa rosa,14.3122,121.1114,81.1,94,100,2.95,PH,2023-10-06 12:50:02
146,longyearbyen,78.2186,15.6401,30.04,80,100,11.5,SJ,2023-10-06 12:53:03
147,mirny,62.5353,113.9611,39.24,100,100,15.99,RU,2023-10-06 12:50:24
148,cabo san lucas,22.8909,-109.9124,83.5,78,100,5.95,MX,2023-10-06 12:49:18
149,ta`u,-14.2336,-169.5144,75.94,72,43,16.98,AS,2023-10-06 12:50:16
150,lihue,21.9789,-159.3672,78.04,94,100,4.61,US,2023-10-06 12:52:31
151,brisas barra de suchiate,14.55,-92.2167,89.78,74,51,12.62,MX,2023-10-06 12:53:04
152,magong,23.5654,119.5863,78.8,89,100,19.1,TW,2023-10-06 12:53:04
153,sisimiut,66.9395,-53.6735,39.07,80,100,31.41,GL,2023-10-06 12:53:04
154,nikolayevsk-on-amure,53.1406,140.73,39.7,95,100,3.87,RU,2023-10-06 12:53:04
155,tsiombe,-25.3,45.4833,70.18,83,0,5.73,MG,2023-10-06 12:49:00
156,tidjikja,18.5564,-11.4271,101.48,11,13,3.47,MR,2023-10-06 12:53:05
157,el granada,37.5027,-122.4694,83.89,59,0,3.44,US,2023-10-06 12:48:58
158,westport,41.1415,-73.3579,75.24,89,100,9.22,US,2023-10-06 12:49:57
159,sao joao da barra,-21.6403,-41.0511,87.89,83,63,17.0,BR,2023-10-06 12:53:05
160,puerto carreno,6.189,-67.4859,91.38,62,20,8.05,CO,2023-10-06 12:53:06
161,dunedin,-45.8742,170.5036,45.81,70,31,14.0,NZ,2023-10-06 12:53:06
162,petawawa,45.9001,-77.3328,68.79,67,76,3.0,CA,2023-10-06 12:53:06
163,whitehorse,60.7161,-135.0538,48.97,76,20,20.71,CA,2023-10-06 12:52:55
164,buala,-8.145,159.5921,78.78,85,100,6.87,SB,2023-10-06 12:53:07
165,barcelos,41.5388,-8.6151,90.91,41,85,4.59,PT,2023-10-06 12:53:07
166,georgetown,5.4112,100.3354,84.13,85,20,7.0,MY,2023-10-06 12:48:59
167,kasongo-lunda,-6.4667,16.8167,78.98,66,93,1.16,CD,2023-10-06 12:53:07
168,salinas,36.6777,-121.6555,82.29,46,0,11.5,US,2023-10-06 12:49:16
169,tadine,-21.55,167.8833,68.49,71,100,7.67,NC,2023-10-06 12:53:08
170,lorengau,-2.0226,147.2712,79.2,85,100,5.21,PG,2023-10-06 12:53:08
171,sinabang,2.4803,96.3801,78.98,82,98,5.93,ID,2023-10-06 12:50:00
172,tambacounda,13.7539,-13.7586,94.01,50,75,6.69,SN,2023-10-06 12:53:08
173,al ghayzah,16.2079,52.176,82.42,77,66,7.43,YE,2023-10-06 12:53:08
174,kapuskasing,49.4169,-82.4331,59.09,55,40,11.5,CA,2023-10-06 12:49:23
175,corsicana,32.0954,-96.4689,81.68,59,0,6.91,US,2023-10-06 12:53:09
176,kuta,-8.7233,115.1723,78.75,94,20,5.99,ID,2023-10-06 12:51:28
177,zorritos,-3.6805,-80.6782,88.09,64,94,11.48,PE,2023-10-06 12:53:09
178,ola,59.5833,151.2833,42.42,81,100,3.49,RU,2023-10-06 12:53:10
179,valparaiso,-33.0393,-71.6273,63.0,61,40,9.22,CL,2023-10-06 12:53:10
180,katsuren-haebaru,26.3369,127.8719,80.98,69,100,5.75,JP,2023-10-06 12:53:10
181,homer,59.6425,-151.5483,51.69,74,100,5.99,US,2023-10-06 12:53:10
182,giado,31.9582,12.0203,72.7,45,0,10.98,LY,2023-10-06 12:53:10
183,sao felix do xingu,-6.6447,-51.995,99.07,30,37,3.06,BR,2023-10-06 12:53:11
